country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,43.828,31889923,974.5803384
Albania,Europe,76.423,3600523,5937.029526
Argentina,Americas,75.32,40301927,12779.37964
Australia,Oceania,81.235,20434176,34435.36744
Austria,Europe,79.829,8199783,36126.4927
Bahrain,Asia,75.635,708573,29796.04834
Bangladesh,Asia,64.062,150448339,1391.253792
Belgium,Europe,79.441,10392226,33692.60508
Bolivia,Americas,65.554,9119152,3822.137084
Bosnia and Herzegovina,Europe,74.852,4552198,7446.298803
Brazil,Americas,72.39,190010647,9065.800825
Bulgaria,Europe,73.005,7322858,10680.79282
Cambodia,Asia,59.723,14131858,1713.778686
Canada,Americas,80.653,33390141,36319.23501
Chile,Americas,78.553,16284741,13171.63885
China,Asia,72.961,1318683096,4959.114854
Colombia,Americas,72.889,44227550,7006.580419
Costa Rica,Americas,78.782,4133884,9645.06142
Croatia,Europe,75.748,4493312,14619.22272
Cuba,Americas,78.273,11416987,8948.102923
Czech Republic,Europe,76.486,10228744,22833.30851
Denmark,Europe,78.332,5468120,35278.41874
Dominican Republic,Americas,72.235,9319622,6025.374752
Ecuador,Americas,74.994,13755680,6873.262326
El Salvador,Americas,71.878,6939688,5728.353514
Finland,Europe,79.313,5238460,33207.0844
France,Europe,80.657,61083916,30470.0167
Germany,Europe,79.406,82400996,32170.37442
Greece,Europe,79.483,10706290,27538.41188
Guatemala,Americas,70.259,12572928,5186.050003
Haiti,Americas,60.916,8502814,1201.637154
Honduras,Americas,70.198,7483763,3548.330846
"Hong Kong, China",Asia,82.208,6980412,39724.97867
Hungary,Europe,73.338,9956108,18008.94444
Iceland,Europe,81.757,301931,36180.78919
India,Asia,64.698,1110396331,2452.210407
Indonesia,Asia,70.65,223547000,3540.651564
Iran,Asia,70.964,69453570,11605.71449
Iraq,Asia,59.545,27499638,4471.061906
Ireland,Europe,78.885,4109086,40675.99635
Israel,Asia,80.745,6426679,25523.2771
Italy,Europe,80.546,58147733,28569.7197
Jamaica,Americas,72.567,2780132,7320.880262
Japan,Asia,82.603,127467972,31656.06806
Jordan,Asia,72.535,6053193,4519.461171
"Korea, Dem. Rep.",Asia,67.297,23301725,1593.06548
"Korea, Rep.",Asia,78.623,49044790,23348.13973
Kuwait,Asia,77.588,2505559,47306.98978
Lebanon,Asia,71.993,3921278,10461.05868
Malaysia,Asia,74.241,24821286,12451.6558
Mexico,Americas,76.195,108700891,11977.57496
Mongolia,Asia,66.803,2874127,3095.772271
Montenegro,Europe,74.543,684736,9253.896111
Myanmar,Asia,62.069,47761980,944
Nepal,Asia,63.785,28901790,1091.359778
Netherlands,Europe,79.762,16570613,36797.93332
New Zealand,Oceania,80.204,4115771,25185.00911
Nicaragua,Americas,72.899,5675356,2749.320965
Norway,Europe,80.196,4627926,49357.19017
Oman,Asia,75.64,3204897,22316.19287
Pakistan,Asia,65.483,169270617,2605.94758
Panama,Americas,75.537,3242173,9809.185636
Paraguay,Americas,71.752,6667147,4172.838464
Peru,Americas,71.421,28674757,7408.905561
Philippines,Asia,71.688,91077287,3190.481016
Poland,Europe,75.563,38518241,15389.92468
Portugal,Europe,78.098,10642836,20509.64777
Puerto Rico,Americas,78.746,3942491,19328.70901
Reunion,Africa,76.442,798094,7670.122558
Romania,Europe,72.476,22276056,10808.47561
Saudi Arabia,Asia,72.777,27601038,21654.83194
Serbia,Europe,74.002,10150265,9786.534714
Singapore,Asia,79.972,4553009,47143.17964
Slovak Republic,Europe,74.663,5447502,18678.31435
Slovenia,Europe,77.926,2009245,25768.25759
Spain,Europe,80.941,40448191,28821.0637
Sri Lanka,Asia,72.396,20378239,3970.095407
Sweden,Europe,80.884,9031088,33859.74835
Switzerland,Europe,81.701,7554661,37506.41907
Syria,Asia,74.143,19314747,4184.548089
Taiwan,Asia,78.4,23174294,28718.27684
Thailand,Asia,70.616,65068149,7458.396327
Trinidad and Tobago,Americas,69.819,1056608,18008.50924
Turkey,Europe,71.777,71158647,8458.276384
United Kingdom,Europe,79.425,60776238,33203.26128
United States,Americas,78.242,301139947,42951.65309
Uruguay,Americas,76.384,3447496,10611.46299
Venezuela,Americas,73.747,26084662,11415.80569
Vietnam,Asia,74.249,85262356,2441.576404
West Bank and Gaza,Asia,73.422,4018332,3025.349798
"Yemen, Rep.",Asia,62.698,22211743,2280.769906
